axis,index,coordinate
x,140,5.437713403816392
x,141,5.470502107572177
x,142,5.50322367705255
x,143,5.53587847658948
x,144,5.568466869771505
x,145,5.6009892194477695
x,146,5.633445887732073
x,147,5.665837236006893
x,148,5.698163624927421
x,149,5.730425414425568
x,150,5.762622963713973
x,151,5.794756631290005
x,152,5.82682677493976
x,153,5.858833751742034
x,154,5.890777918072306
x,155,5.9226596296067004
x,156,5.9544792413259575
x,157,5.986237107519374
x,158,6.017933581788754
x,159,6.049569017052345
x,160,6.08114376554877
x,161,6.112658178840946
x,162,6.144112607819995
x,163,6.175507402709162
x,164,6.2068429130677005
x,165,6.23811948779478
x,166,6.269337475133358
x,167,6.30049722267406
x,168,6.331599077359057
x,169,6.362643385485919
x,170,6.393630492711479
x,171,6.424560744055671
x,172,6.455434483905388
x,173,6.486252056018296
x,174,6.517013803526681
x,175,6.547720068941255
x,176,6.578371194154981
x,177,6.608967520446865
x,178,6.639509388485777
x,179,6.66999713833422
x,180,6.700431109452141
x,181,6.730811640700685
x,182,6.761139070345992
x,183,6.791413736062944
x,184,6.821635974938942
x,185,6.851806123477644
x,186,6.881924517602721
x,187,6.911991492661591
x,188,6.942007383429162
x,189,6.97197252411155
x,190,7.001887248349805
x,191,7.031751889223623
x,192,7.061566779255061
x,193,7.091332250412231
x,194,7.1210486341129995
x,195,7.150716261228686
x,196,7.1803354620877275
x,197,7.209906566479375
x,198,7.239429903657356
x,199,7.268905802343551
x,200,7.298334590731636
x,201,7.327716596490749
x,202,7.3570521467691385
x,203,7.386341568197802
x,204,7.415585186894126
x,205,7.444783328465511
x,206,7.473936318013006
x,207,7.50304448013492
x,208,7.532108138930443
x,209,7.561127618003249
x,210,7.590103240465101
x,211,7.619035328939452
x,212,7.647924205565031
x,213,7.6767701919994344
x,214,7.705573609422707
x,215,7.7343347785409176
x,216,7.763054019589723
x,217,7.79173165233795
x,218,7.820367996091139
x,219,7.8489633696951095
x,220,7.877518091539506
x,221,7.906032479561341
x,222,7.934506851248541
x,223,7.962941523643476
x,224,7.991336813346496
x,225,8.01969303651945
x,226,8.048010508889204
x,227,8.07628954575117
x,228,8.104530461972796
x,229,8.132733571997095
x,230,8.160899189846122
x,231,8.189027629124494
x,232,8.217119203022861
x,233,8.24517422432141
x,234,8.273193005393335
x,235,8.301175858208323
x,236,8.329123094336023
x,237,8.35703502494952
x,238,8.384911960828791
x,239,8.41275421236418
x,240,8.440562089559831
x,241,8.468335902037168
x,242,8.49607595903832
x,243,8.523782569429576
x,244,8.551456041704817
x,245,8.579096683988954
x,246,8.60670480404136
x,247,8.634280709259299
x,248,8.661824706681337
x,249,8.689337102990779
x,250,8.716818204519063
x,251,8.744268317249189
x,252,8.771687746819117
x,253,8.799076798525167
x,254,8.826435777325429
x,255,8.853764987843146
x,256,8.881064734370115
x,257,8.908335320870075
x,258,8.935577050982078
x,259,8.962790228023893
x,260,8.98997515499536
x,261,9.01713213458178
x,262,9.04426146915728
x,263,9.071363460788172
x,264,9.098438411236332
x,265,9.125486621962544
x,266,9.152508394129867
x,267,9.179504028606988
x,268,9.206473825971562
x,269,9.233418086513574
x,270,9.260337110238664
x,271,9.287231196871485
x,272,9.314100645859035
x,273,9.340945756373978
x,274,9.367766827317999
x,275,9.39456415732511
x,276,9.421338044764987
