test_id,fuel_raw,nozzle_mm,pressure_pa,xf,fuel_display,air_display,fan_setting,smoke_point_pixels,smoke_point_mm,flame_width_mm,tad_k,total_fuel_sccm,hc_only_sccm,mdot_total_mg_s,mdot_hc_mg_s,coflow_velocity_cm_s,fuel_jet_velocity_cm_s,series,platform,fuel,fuel_fraction,investigation,source,gravity
P7-7,Propylene,0.762,101325.0,1.0,80.0,40.0,102.0,405.0,26.296566546721067,6.209877429795922,2331.98,32.8,32.8,0.9530849690673169,0.9530849690673169,31.690245787031742,119.87338503257685,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P7-8,Propylene,0.762,101325.0,1.0,41.0,14.0,56.0,465.0,14.213981196183823,6.775086180035908,2331.98,16.81,16.81,0.48845604664699993,0.48845604664699993,7.24464578979962,61.43510982919564,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P4-1,Propylene,0.4064,101325.0,1.0,136.0,35.0,106.0,292.0,53.2836448343909,4.968396532026333,2331.98,55.76,55.76,1.6202444474144388,1.6202444474144388,26.989168864487098,716.4307777337604,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P4-2,Propylene,0.4064,101325.0,1.0,113.0,22.0,81.0,320.0,46.96023106635738,4.968396532026333,2331.98,46.33,46.33,1.3462325188075852,1.3462325188075852,14.76636886587104,595.2696903229038,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P4-3,Propylene,0.4064,101325.0,1.0,145.0,17.0,55.0,262.0,59.18591737860317,5.749886509070298,2331.98,59.449999999999996,59.449999999999996,1.7274665064345118,1.7274665064345118,10.065291943326404,763.841638024965,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
P4-4,Propylene,0.4064,101325.0,1.0,92.0,12.0,55.0,361.0,37.7009466203083,4.968396532026333,2331.98,37.72,37.72,1.0960477144274146,1.0960477144274146,5.364215020781765,484.64434964342615,spice_flight,ISS,propylene,1.0,PSI-107,experiment,microgravity
,75% Propylene,1.6002,,,125.0,47.0,98.0,828.24,34.88398741831541,,,60.117302052785924,45.08797653958944,1.6007248214500989,1.3101424611445887,38.271753478594235,49.82069918763709,spice_nikon,ISS,propylene,0.75,PSI-107,experiment,microgravity
,75% Propylene,1.6002,,,146.0,67.0,131.0,928.7,39.11518293657578,,,70.21700879765396,52.66275659824047,1.8696465914537155,1.5302463946168798,57.07606116877278,58.19057665116012,spice_nikon,ISS,propylene,0.75,PSI-107,experiment,microgravity
,75% Propylene,1.6002,,,102.0,26.0,65.0,696.14,29.320171691038933,,,49.05571847507331,36.79178885630498,1.3061914543032807,1.0690762482939844,18.527230403906753,40.65369053711187,spice_nikon,ISS,propylene,0.75,PSI-107,experiment,microgravity
,75% Propylene,0.762,,,188.0,47.0,98.0,1330.8,56.05091574458387,,,90.41642228739003,67.81231671554252,2.407490131460949,1.9704542615614618,38.271753478594235,328.71495992713875,spice_nikon,ISS,propylene,0.75,PSI-107,experiment,microgravity
,75% Propylene,0.762,,,168.0,26.0,65.0,1250.0,52.647764262646405,,,80.79765395894428,60.59824046920821,2.151374160028933,1.7608314677783274,18.527230403906753,293.74528333914526,spice_nikon,ISS,propylene,0.75,PSI-107,experiment,microgravity
,50% Propylene,1.6002,,,218.0,48.0,98.0,1158.5,48.79394791862069,,,126.78014184397165,63.390070921985824,3.0675613196735596,1.8419549934102404,39.21196886310316,105.06584783576075,spice_nikon,ISS,propylene,0.5,PSI-107,experiment,microgravity
,50% Propylene,1.6002,,,256.0,68.0,131.0,1310.1,55.17906876839444,,,148.8794326241135,74.43971631205675,3.602273843286382,2.1630297170322086,58.01627655328171,123.380078192453,spice_nikon,ISS,propylene,0.5,PSI-107,experiment,microgravity
,50% Propylene,1.6002,,,188.0,27.0,65.0,1018.0,42.87633921549923,,,109.33333333333334,54.66666666666667,2.645419853663437,1.5884749484455283,19.46744578841568,90.60724492258267,spice_nikon,ISS,propylene,0.5,PSI-107,experiment,microgravity
,100% Propylene,1.6002,,,95.0,51.0,98.0,706.16,29.742196169368306,,,38.95,38.95,1.1317884007674388,1.1317884007674388,42.03261501662994,32.27883100367007,spice_nikon,ISS,propylene,1.0,PSI-107,experiment,microgravity
,100% Propylene,1.6002,,,113.0,70.0,131.0,836.4,35.22767202342196,,,46.33,46.33,1.3462325188075852,1.3462325188075852,59.89670732229956,38.3948200359444,spice_nikon,ISS,propylene,1.0,PSI-107,experiment,microgravity
,100% Propylene,1.6002,,,75.0,28.0,65.0,573.09,24.137525777024024,,,30.75,30.75,0.8935171585006095,0.8935171585006095,20.407661172924605,25.48328763447637,spice_nikon,ISS,propylene,1.0,PSI-107,experiment,microgravity
,100% Propylene,0.762,,,118.0,48.0,98.0,926.49,39.02210168935942,,,48.38,48.38,1.4058003293742922,1.4058003293742922,39.21196886310316,175.8887308184602,spice_nikon,ISS,propylene,1.0,PSI-107,experiment,microgravity
