test_id,flex_identifier,test_date,test_gmt,fuel,pressure_mmhg,o2_frac,n2_frac,co2_frac,he_frac,d0_mm,dext_mm,burning_rate_mm2_s,burn_time_s,test_end,burn_time_s_approx,pressure_atm,extinction,investigation,source,gravity
68,189R003,3/19/2010,12:04:45,Methanol,768.8,0.15,0.84,0.0,0.0,2.38,1.29,0.39,10.7,Extinction,False,1.011578947368421,1,PSI-69,experiment,microgravity
69,193R002,3/23/2010,10:23:00,Heptane,767.1,0.14,0.84,0.0,0.0,1.1,0.0,0.94,1.3,Completion,False,1.009342105263158,0,PSI-69,experiment,microgravity
70,193F001,3/23/2010,7:25:43,Heptane,761.0,0.15,0.84,0.0,0.0,4.67,4.6,0.41,1.6,Extinction,False,1.0013157894736842,1,PSI-69,experiment,microgravity
71,189R002,3/19/2010,11:19:22,Methanol,768.3,0.15,0.84,0.0,0.0,2.25,,0.4,8.4,Extinction,False,1.0109210526315788,1,PSI-69,experiment,microgravity
72,193R001,3/23/2010,9:06:37,Heptane,765.2,0.15,0.84,0.0,0.0,1.13,,0.52,2.5,Completion,False,1.006842105263158,0,PSI-69,experiment,microgravity
73,193F001,3/23/2010,7:25:43,Heptane,761.0,0.15,0.84,0.0,0.0,4.64,4.58,0.56,1.5,Extinction,False,1.0013157894736842,1,PSI-69,experiment,microgravity
74,221F001,3/23/2010,9:44:36,Heptane,765.9,0.15,0.84,0.0,0.0,1.33,,0.77,2.3,Completion,False,1.0077631578947368,0,PSI-69,experiment,microgravity
75,203R002,3/29/2010,21:06:40,Methanol,770.8,0.13,0.85,0.0,0.0,2.54,1.78,0.37,9.1,Extinction,False,1.0142105263157895,1,PSI-69,experiment,microgravity
76,203F001,3/29/2010,19:24:36,Methanol,769.5,0.13,0.85,0.0,0.0,3.21,2.78,0.37,8.9,Extinction,False,1.0125,1,PSI-69,experiment,microgravity
77,175R001,3/29/2010,18:39:20,Methanol,768.4,0.14,0.85,0.0,0.0,3.33,2.91,0.34,8.5,Extinction,False,1.0110526315789474,1,PSI-69,experiment,microgravity
78,175F001,3/29/2010,17:49:23,Methanol,766.0,0.14,0.85,0.0,0.0,2.66,1.66,0.35,12.9,Extinction,False,1.0078947368421052,1,PSI-69,experiment,microgravity
79,179F001,3/30/2010,0:40:16,Heptane,768.1,0.13,0.85,0.0,0.0,2.92,2.86,0.25,1.5,Extinction,False,1.010657894736842,1,PSI-69,experiment,microgravity
80,207F001,3/30/2010,2:29:19,Heptane,770.0,0.13,0.85,0.0,0.0,,,,1.0,Extinction,False,1.013157894736842,1,PSI-69,experiment,microgravity
81,207F002,3/30/2010,3:59:28,Heptane,770.2,0.13,0.85,0.0,0.0,,,,1.5,Extinction,False,1.013421052631579,1,PSI-69,experiment,microgravity
82,304F001,4/19/2010,17:19:17,Methanol,764.6,0.13,0.87,0.0,0.0,2.84,2.39,0.35,7.5,Extinction,False,1.0060526315789473,1,PSI-69,experiment,microgravity
83,304F002,4/19/2010,21:18:05,Methanol,772.0,0.12,0.87,0.0,0.0,,,,5.45,Extinction,False,1.0157894736842106,1,PSI-69,experiment,microgravity
84,304R001,4/19/2010,17:51:24,Methanol,767.2,0.12,0.87,0.0,0.0,2.35,1.42,0.35,10.8,Extinction,False,1.0094736842105263,1,PSI-69,experiment,microgravity
85,304R002,4/19/2010,20:12:58,Methanol,771.2,0.12,0.87,0.0,0.0,2.4,1.77,0.35,9.3,Extinction,False,1.0147368421052632,1,PSI-69,experiment,microgravity
86,305F002,4/19/2010,19:16:37,Methanol,770.0,0.12,0.87,0.0,0.0,3.07,2.56,0.35,9.0,Extinction,False,1.013157894736842,1,PSI-69,experiment,microgravity
87,305F003,4/19/2010,20:38:54,Methanol,771.2,0.12,0.87,0.0,0.0,2.64,1.92,0.38,9.3,Extinction,False,1.0147368421052632,1,PSI-69,experiment,microgravity
94,C08H101,6/15/2010,2:10:43,Heptane,533.6,0.24,0.56,0.2,0.0,3.53,2.76,0.51,10.1,Extinction,False,0.7021052631578948,1,PSI-69,experiment,microgravity
95,C08H201,6/15/2010,3:22:41,Heptane,534.4,0.24,0.56,0.2,0.0,3.6,3.04,0.58,8.0,Extinction,False,0.7031578947368421,1,PSI-69,experiment,microgravity
97,C08M101,6/16/2010,22:43:35,Methanol,534.2,0.23,0.56,0.2,0.0,4.25,2.6,0.45,26.5,Completion,False,0.7028947368421053,0,PSI-69,experiment,microgravity
98,C09M201,6/21/2010,14:21:26,Methanol,537.1,0.23,0.52,0.25,0.0,3.64,1.74,0.47,22.9,Extinction,False,0.7067105263157895,1,PSI-69,experiment,microgravity
99,C09M101,6/21/2010,12:57:34,Methanol,535.0,0.23,0.52,0.25,0.0,4.28,2.32,0.42,33.0,Extinction,False,0.7039473684210527,1,PSI-69,experiment,microgravity
100,C09H101,6/29/2010,8:30:46,Heptane,536.7,0.23,0.52,0.25,0.0,4.14,3.98,0.34,6.1,Extinction,False,0.7061842105263159,1,PSI-69,experiment,microgravity
101,C09H201,6/29/2010,9:38:10,Heptane,538.7,0.23,0.52,0.25,0.0,3.88,3.45,0.5,6.5,Extinction,False,0.7088157894736843,1,PSI-69,experiment,microgravity
102,C10H101,6/29/2010,11:21:09,Heptane,534.2,0.21,0.49,0.3,0.0,3.57,3.43,0.33,4.2,Extinction,False,0.7028947368421053,1,PSI-69,experiment,microgravity
103,C10H201,6/29/2010,11:56:02,Heptane,534.3,0.21,0.49,0.3,0.0,4.0,3.88,0.35,3.2,Extinction,False,0.7030263157894736,1,PSI-69,experiment,microgravity
104,C08M201,6/16/2010,23:04:00,Methanol,534.1,0.23,0.56,0.2,0.0,3.6,1.58,0.49,23.2,Extinction,False,0.7027631578947369,1,PSI-69,experiment,microgravity
108,C09M301,6/21/2010,15:35:57,Methanol,538.3,0.23,0.52,0.25,0.0,3.75,,0.47,24.3,Completion,False,0.7082894736842105,0,PSI-69,experiment,microgravity
109,C10M102,8/31/2010,5:38:01,Methanol,536.5,0.21,0.49,0.3,0.0,3.56,1.92,0.42,,Extinction,False,0.7059210526315789,1,PSI-69,experiment,microgravity
110,C10M201,8/31/2010,7:16:40,Methanol,537.0,0.21,0.49,0.3,0.0,2.83,1.57,0.45,13.0,Extinction,False,0.7065789473684211,1,PSI-69,experiment,microgravity
111,C10M303,8/31/2010,8:58:24,Methanol,536.9,0.21,0.49,0.3,0.0,3.37,2.1,0.45,16.4,Completion,False,0.7064473684210526,0,PSI-69,experiment,microgravity
