fuel,d0_mm,pressure_atm,xo2,measurement,value,source,error_bar_side,data_file,doi,figure,investigation,gravity
n-dodecane,4.0,0.5,0.21,dext_hot_mm,3.48,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_hot_mm,3.57,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_hot_mm,3.56,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_hot_mm,3.62,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_hot_mm,3.56,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_hot_mm,3.43,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_hot_mm,3.69,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_hot_mm,3.68,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_hot_mm,3.74,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_hot_mm,3.94,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.89,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.49,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.39,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.48,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.38,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_cool_mm,0.0,experiment,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,1.19,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.41,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.25,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.33,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_cool_mm,0.03,simulation,,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,2.29,error_bar,+,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.81,error_bar,+,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.67,error_bar,+,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.58,error_bar,+,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,3.0,0.21,dext_cool_mm,0.0,error_bar,+,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.5,0.21,dext_cool_mm,0.66,error_bar,-,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,0.75,0.21,dext_cool_mm,0.23,error_bar,-,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.0,0.21,dext_cool_mm,0.15,error_bar,-,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
n-dodecane,4.0,1.25,0.21,dext_cool_mm,0.14,error_bar,-,PROCI_2023_C12_Extinction_Diameter_vs_pressure.csv,10.1016/j.proci.2022.07.094,Fig. 7,PSI-117,microgravity
