GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
119,10:38:34,10:40:11,75 % Propylene,1.6002,42.48,0.461,0.26,26.99
119,10:38:34,10:40:11,75 % Propylene,1.6002,56.88,0.618,0.348,26.99
119,10:38:34,10:40:11,75 % Propylene,1.6002,60.48,0.657,0.37,26.05
119,10:38:34,10:40:11,75 % Propylene,1.6002,64.08,0.696,0.392,25.11
136,15:52:00,15:54:29,75 % Propylene,1.6002,71.28,0.774,0.436,24.17
136,15:52:00,15:54:29,75 % Propylene,1.6002,35.28,0.383,0.216,23.23
136,15:52:00,15:54:29,75 % Propylene,1.6002,45.36,0.492,0.277,23.23
136,15:57:26,15:59:22,75 % Propylene,1.6002,35.28,0.383,0.216,17.59
136,15:57:26,15:59:22,75 % Propylene,1.6002,10.8,0.117,0.066,16.65
136,15:57:26,15:59:22,75 % Propylene,1.6002,22.32,0.242,0.137,16.65
136,15:57:26,15:59:22,75 % Propylene,1.6002,32.4,0.352,0.198,16.65
136,15:57:26,15:59:22,75 % Propylene,1.6002,39.6,0.43,0.242,16.65
136,16:33:58,16:37:22,75 % Propylene,0.4064,71.28,0.774,0.436,20.41
136,16:33:58,16:37:22,75 % Propylene,0.4064,75.6,0.821,0.462,15.71
136,16:33:58,16:37:22,75 % Propylene,0.4064,73.44,0.797,0.449,15.71
136,16:33:58,16:37:22,75 % Propylene,0.4064,67.68,0.735,0.414,15.71
136,16:33:58,16:37:22,75 % Propylene,0.4064,64.8,0.703,0.396,15.71
136,16:39:21,16:42:43,75 % Propylene,0.4064,72.72,0.789,0.445,22.29
136,16:39:21,16:42:43,75 % Propylene,0.4064,82.08,0.891,0.502,21.35
136,16:39:21,16:42:43,75 % Propylene,0.4064,79.2,0.86,0.484,22.29
136,16:39:21,16:42:43,75 % Propylene,0.4064,70.56,0.766,0.432,22.29
136,16:39:21,16:42:43,75 % Propylene,0.4064,62.64,0.68,0.383,21.35
136,16:52:19,16:52:40,75 % Propylene,0.4064,71.28,0.774,0.436,-0.28
136,16:54:20,,75 % Propylene,0.4064,68.4,0.743,0.418,0.66
136,16:56:22,,75 % Propylene,0.4064,74.88,0.813,0.458,-0.28
136,16:56:22,,75 % Propylene,0.4064,90.72,0.985,0.555,-0.28
136,16:56:22,,75 % Propylene,0.4064,85.68,0.93,0.524,-0.28
136,16:56:22,,75 % Propylene,0.4064,79.2,0.86,0.484,-0.28
136,17:21:33,17:23:50,75 % Propylene,0.762,18,0.195,0.11,14.77
136,17:21:33,17:23:50,75 % Propylene,0.762,28.8,0.313,0.176,14.77
136,17:21:33,17:23:50,75 % Propylene,0.762,39.6,0.43,0.242,13.83
136,17:21:33,17:23:50,75 % Propylene,0.762,49.68,0.539,0.304,13.83
